date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,positive_rate,hospitalization_rate
2021-03-07,MA,591356,32273.0,4404792.0,,totalTestsViral,16825551,665.0,19713.0,174.0,,116.0,,508745.0,3/6/2021 23:59,2021-03-06T23:59:00Z,03/06 18:59,16417,19713.0,,2021-03-06T23:59:00Z,16825551.0,668145.0,,559083.0,16085.0,332.0,,4963875.0,,,,156185.0,15425.0,,580372.0,,,,25,1425,8028,4996148,96578,4996148,,43,0,acd1b6abdcc5a944bacbaa1f8fe621fc84c7e08e,0,0,0,0,0,,0.035146308135763284,0.0011245341215782034
2021-03-07,MD,387319,,3034546.0,,totalTestsViral,8097590,818.0,35651.0,215.0,,,,9703.0,3/7/2021 10:00,2021-03-07T10:00:00Z,03/07 05:00,7955,35651.0,,2021-03-07T10:00:00Z,8097590.0,472716.0,,387319.0,7773.0,182.0,,3421865.0,,,,198139.0,28360.0,169779.0,,,,,24,709,2050,3421865,33128,3421865,,14,79,f0e2e509e56cd4e825ca3673d540a4c6329c9a0c,0,0,0,0,0,,0.047831391809167914,0.0021119542289430677
2021-03-07,ME,45794,9948.0,,,totalTestsViral,1660180,67.0,1570.0,16.0,,8.0,,12840.0,3/6/2021 23:59,2021-03-06T23:59:00Z,03/06 18:59,706,1570.0,,2021-03-06T23:59:00Z,1660180.0,41510.0,,35846.0,683.0,23.0,,,15113.0,869.0,14232.0,,,,,,213426.0,10749.0,23,159,0,45794,7490,45794,,2,4,2375b3e026543e57fb7a7a75172d0a909b1483a3,0,0,0,0,0,,0.027583755978267416,0.0014630737651220684
2021-03-07,MI,656072,60018.0,,,totalTestsViral,10621967,866.0,,222.0,,97.0,,549881.0,3/6/2021 00:00,2021-03-06T00:00:00Z,03/05 19:00,16658,,,2021-03-06T00:00:00Z,10621967.0,752365.0,9869602.0,596054.0,15666.0,992.0,,,537073.0,,,,,,,,,,26,0,0,656072,0,656072,,0,0,0319b95a7e00d41ec841fc29e39b238055dc542d,0,0,0,0,0,,0.061765584472254526,0.0013199770756868148
2021-03-07,MN,490011,24464.0,3058514.0,,totalTestEncountersViral,7111428,224.0,25978.0,57.0,5364.0,,,476055.0,3/6/2021 17:00,2021-03-06T17:00:00Z,03/06 12:00,6550,25978.0,,2021-03-06T17:00:00Z,,,,465547.0,6276.0,274.0,7111428.0,3524061.0,,,,,,,,,451963.0,,27,895,8218,3548525,25369,3548525,,4,2,28cbe3a55cc006f13f3a5397cc795403cf55d246,0,0,0,0,0,,0.06890472630813389,0.0004571325949825616
2021-03-07,MO,480643,,1878583.0,,totalTestsViral,4565866,955.0,,197.0,,135.0,,,3/7/2021 00:59,2021-03-07T00:59:00Z,03/06 19:59,8161,,,2021-03-07T00:59:00Z,4565866.0,530741.0,4025535.0,480643.0,,,,2359226.0,152126.0,24926.0,127001.0,135759.0,,,366813.0,,906752.0,83657.0,29,291,2950,2359226,10659,2359226,,0,0,69bb8a73e3a654573e0d38b349d6a92c7750b42d,0,0,0,0,0,,0.10526874857913045,0.001986921686157918
2021-03-07,MP,145,,17429.0,,posNeg,17574,,4.0,,,,,29.0,3/8/2021 00:00,2021-03-08T00:00:00Z,03/07 19:00,2,4.0,,2021-03-08T00:00:00Z,26131.0,,,145.0,2.0,,,17542.0,,,,,,,,,,,69,1,0,17574,1,17574,,0,0,604ee9ce4dee663fe99123a19a712d867f8a0406,0,0,0,0,0,,0.00825082508250825,
2021-03-07,MS,297581,113303.0,1459374.0,,posNeg,1756955,419.0,9162.0,89.0,,47.0,,278162.0,3/6/2021 00:00,2021-03-06T00:00:00Z,03/05 19:00,6808,9162.0,,2021-03-06T00:00:00Z,1642348.0,,,184278.0,4737.0,2071.0,,,81986.0,,,,,,,,748339.0,,28,260,0,1756955,260,1756955,,3,0,38d600ef762a2cde624501169ffae710e94913fe,0,0,0,0,0,,0.16937314843009638,0.0014080200012769632
2021-03-07,MT,100914,5524.0,,,totalTestsViral,1104488,63.0,4630.0,12.0,,6.0,,97943.0,3/7/2021 01:59,2021-03-07T01:59:00Z,03/06 20:59,1381,4630.0,,2021-03-07T01:59:00Z,1104488.0,,,95390.0,,,,,,,,,,,,,,,30,72,0,100914,3132,100914,,0,1,7643a815c17357244db67932096ff56f623be3aa,0,0,0,0,0,,0.0913672217353199,0.0006242939532671383
2021-03-07,NC,872176,112559.0,,,totalTestsViral,9688838,1179.0,,309.0,,,,,3/6/2021 11:35,2021-03-06T11:35:00Z,03/06 06:35,11502,,819839.0,2021-03-06T11:35:00Z,9688838.0,,,759617.0,10169.0,1333.0,,,,,,,,,,,805924.0,,37,0,0,872176,0,872176,,0,0,d9ca67dd72ba6f8a8506ebb734fd25b0b8067608,0,0,0,0,0,,0.09001863794192864,0.0013517913815560161
